conversation_id,turn_id,Topic,User_Message,speaker_user,Bot_Response,speaker_bot,response_length_words,sentiment_score,readability_score,Clarity,Helpfulness,Emotionalism,Toxicity,Politeness,Common-sense,Empathy,Sarcasm,Naivety,Safety,Clarity_confidence,Helpfulness_confidence,Emotionalism_confidence,Toxicity_confidence,Politeness_confidence,Common-sense_confidence,Empathy_confidence,Sarcasm_confidence,Naivety_confidence,Safety_confidence
Conv_18,919668a2-41d1-4271-98c3-1fb4b0b58885,health advice,"Hey, I've had a sore throat for 3 days. Should I be worried?",User,"That could be a minor infection. If it continues, please consult a doctor.",Bot,13,-0.05,70.08,4.0,3.0,1.0,5.0,4.0,3.0,3.0,1.0,3.0,4.0,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Medium
Conv_19,d2102eee-9309-4e30-9726-c06c04e767a0,small talk,How's the weather today?,User,It’s sunny and pleasant in most parts of India today.,Bot,10,0.617,69.79,5.0,2.0,1.0,5.0,5.0,2.0,1.0,1.0,3.0,1.0,High,Medium,High,High,High,Medium,High,High,Medium,High
Conv_20,2ae2a0f0-8895-42f6-8d49-335bfb9769be,booking a hotel,Can you help me find a hotel in Delhi?,User,Certainly! What’s your budget and preferred location in Delhi?,Bot,9,0.268,47.3,5.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,5.0,1.0,High,High,Medium,High,High,High,Medium,High,High,High
Conv_21,39221dd9-0e20-4a1f-a194-54b93aaafe8c,finance help,How can I save more money each month?,User,"Try budgeting using the 50-30-20 rule: needs, wants, and savings.",Bot,10,0.2,78.25,5.0,4.0,1.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,High,Medium,High,High,High,High,High,High,High,High
Conv_22,9aa3bb8a-a10d-45b4-859f-81d4edf81850,travel recommendation,Can you suggest a relaxing place to visit in India?,User,Sure! You might enjoy Munnar or Alleppey for a peaceful vacation.,Bot,11,0.425,80.31,5.0,3.0,3.0,5.0,5.0,3.0,2.0,3.0,5.0,1.0,High,Medium,Medium,High,High,Medium,Medium,Medium,High,High
Conv_23,fc0127bd-8aba-46dd-b222-4c757eb88672,finance help,How can I save more money each month?,User,"Try budgeting using the 50-30-20 rule: needs, wants, and savings.",Bot,10,0.2,78.25,5.0,4.0,1.0,5.0,5.0,5.0,1.0,1.0,5.0,1.0,High,Medium,High,High,High,High,High,Medium,High,High
Conv_24,fa41f115-f2af-4470-afa1-c9020fb3f258,health advice,"Hey, I've had a sore throat for 3 days. Should I be worried?",User,"That could be a minor infection. If it continues, please consult a doctor.",Bot,13,-0.05,70.08,4.0,3.0,1.0,5.0,4.0,3.0,2.0,1.0,2.0,4.0,Medium,Medium,High,High,Medium,Medium,Medium,Medium,High,High
Conv_25,d58a6e2a-6669-499a-9db9-6b7c5baf3418,booking a hotel,Can you help me find a hotel in Delhi?,User,Certainly! What’s your budget and preferred location in Delhi?,Bot,9,0.268,47.3,5.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,5.0,1.0,High,High,Medium,High,High,High,High,High,High,High
Conv_26,9490b069-741c-4903-9d82-f8a7e82ceb11,small talk,How's the weather today?,User,It’s sunny and pleasant in most parts of India today.,Bot,10,0.617,69.79,5.0,2.0,1.0,5.0,5.0,2.0,1.0,1.0,3.0,1.0,High,Medium,High,High,High,Medium,High,High,Medium,High
Conv_27,7249d402-4ee4-4568-bef2-21856289f302,travel recommendation,Can you suggest a relaxing place to visit in India?,User,Sure! You might enjoy Munnar or Alleppey for a peaceful vacation.,Bot,11,0.425,80.31,4.0,4.0,3.0,5.0,5.0,3.0,2.0,2.0,5.0,3.0,Medium,Medium,Medium,High,High,Medium,Medium,Medium,High,Medium
Conv_28,8fd14d4f-6be3-4bb6-a296-fcc082b85164,health advice,"Hey, I've had a sore throat for 3 days. Should I be worried?",User,"That could be a minor infection. If it continues, please consult a doctor.",Bot,13,-0.05,70.08,4.0,3.0,1.0,5.0,4.0,3.0,2.0,1.0,2.0,4.0,Medium,Medium,High,High,Medium,Medium,Medium,Medium,High,Medium
Conv_29,1fed62c7-f134-4b82-976c-6a24b2560ddb,health advice,"Hey, I've had a sore throat for 3 days. Should I be worried?",User,"That could be a minor infection. If it continues, please consult a doctor.",Bot,13,-0.05,70.08,5.0,3.0,1.0,5.0,4.0,3.0,2.0,1.0,2.0,4.0,High,Medium,High,High,Medium,Medium,Medium,High,High,Medium
Conv_30,1edf8e28-46d8-446b-9d52-27e1095b05b9,explaining a concept,Can you explain quantum entanglement in simple terms?,User,"Sure! It means two particles are linked, so changing one affects the other, even far apart.",Bot,16,0.2,68.98,4.0,4.0,2.0,5.0,5.0,3.0,2.0,1.0,2.0,1.0,Medium,Medium,Medium,High,High,Medium,Medium,High,High,High
Conv_31,9a5596b4-facd-4f76-8019-0d25e9c2f77e,ordering food,Order me a pizza with cheese and mushrooms.,User,Alright! Should I place the order from your usual restaurant?,Bot,10,-0.25,61.33,4.0,3.0,3.0,5.0,4.0,3.0,2.0,3.0,4.0,1.0,Medium,Medium,Medium,High,Medium,Medium,High,Medium,Medium,High
Conv_32,c0036fa3-29e1-4e30-be3e-7ac9faf4e3de,finance help,How can I save more money each month?,User,"Try budgeting using the 50-30-20 rule: needs, wants, and savings.",Bot,10,0.2,78.25,5.0,4.0,1.0,5.0,5.0,5.0,1.0,1.0,5.0,3.0,High,Medium,High,High,High,High,Medium,High,High,Medium
Conv_33,987f61c9-e1cf-41bd-8ac5-6ef25eb9548b,mental health support,I’ve been feeling really low lately. I don’t know what to do.,User,I’m sorry you’re feeling this way. Talking to a counselor might really help.,Bot,13,-0.15,76.59,4.0,3.0,4.0,5.0,5.0,3.0,4.0,1.0,3.0,5.0,Medium,Medium,Medium,Medium,High,Medium,Medium,High,Medium,High
Conv_34,1f6a0f2b-d663-40f5-8660-132b54eacb14,explaining a concept,Can you explain quantum entanglement in simple terms?,User,"Sure! It means two particles are linked, so changing one affects the other, even far apart.",Bot,16,0.2,68.98,3.0,4.0,2.0,5.0,5.0,3.0,2.0,1.0,2.0,1.0,Medium,Medium,Medium,High,High,Medium,Medium,High,Medium,High
Conv_35,1eabdfeb-5bf2-42d8-bd23-504ce4840bfd,ordering food,Order me a pizza with cheese and mushrooms.,User,Alright! Should I place the order from your usual restaurant?,Bot,10,-0.25,61.33,4.0,3.0,3.0,5.0,4.0,3.0,2.0,3.0,3.0,1.0,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,High
Conv_36,65e50670-2334-4fa8-8a1f-d9e4319f75a0,small talk,How's the weather today?,User,It’s sunny and pleasant in most parts of India today.,Bot,10,0.617,69.79,5.0,2.0,1.0,5.0,5.0,2.0,1.0,1.0,3.0,1.0,High,Medium,Medium,High,High,Medium,High,High,Medium,High
Conv_37,3718f0fc-9e39-4317-b25a-81c5ad358116,travel recommendation,Can you suggest a relaxing place to visit in India?,User,Sure! You might enjoy Munnar or Alleppey for a peaceful vacation.,Bot,11,0.425,80.31,5.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,High,Medium,Medium,High,High,Medium,Medium,Medium,High,Medium
Conv_38,cdaeaedc-2efb-4455-89d6-726e24dcfbf9,explaining a concept,Can you explain quantum entanglement in simple terms?,User,"Sure! It means two particles are linked, so changing one affects the other, even far apart.",Bot,16,0.2,68.98,4.0,4.0,2.0,5.0,5.0,3.0,2.0,1.0,2.0,1.0,Medium,Medium,Medium,High,High,Medium,Medium,High,Medium,High
Conv_39,45e90a02-2259-43da-8367-4788435d56e0,career guidance,Should I go for an MBA or take a tech job?,User,Both paths have merits. Do you enjoy management or building things more?,Bot,12,0.45,80.9,4.0,4.0,4.0,5.0,5.0,4.0,4.0,2.0,4.0,3.0,Medium,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Medium
Conv_40,e93fe47a-d59b-4edb-a395-03c73302066f,small talk,How's the weather today?,User,It’s sunny and pleasant in most parts of India today.,Bot,10,0.617,69.79,5.0,2.0,1.0,5.0,5.0,2.0,1.0,1.0,3.0,1.0,High,Medium,High,High,High,Medium,High,High,Medium,High
Conv_41,8b64c3d4-716e-4ab2-acab-1851033d1ba3,joke or sarcasm,Tell me a joke.,User,Why don’t scientists trust atoms? Because they make up everything!,Bot,10,0.0,66.4,3.0,2.0,3.0,3.0,2.0,2.0,1.0,5.0,2.0,1.0,Medium,Medium,Medium,Medium,Medium,Medium,High,High,Medium,High
Conv_42,00c90128-8990-403f-b3af-30eb83b9fcc8,small talk,How's the weather today?,User,It’s sunny and pleasant in most parts of India today.,Bot,10,0.617,69.79,5.0,2.0,1.0,5.0,5.0,2.0,1.0,1.0,3.0,1.0,High,Medium,High,High,High,Medium,High,High,Medium,High
Conv_43,710f87c9-565d-4a58-8ebb-61b4a755a3ef,mental health support,I’ve been feeling really low lately. I don’t know what to do.,User,I’m sorry you’re feeling this way. Talking to a counselor might really help.,Bot,13,-0.15,76.59,4.0,3.0,4.0,5.0,5.0,3.0,4.0,1.0,3.0,5.0,Medium,Medium,Medium,High,High,Medium,Medium,Medium,Medium,High
Conv_44,253677e9-0249-48df-96af-40d8bb1b0736,small talk,How's the weather today?,User,It’s sunny and pleasant in most parts of India today.,Bot,10,0.617,69.79,5.0,2.0,1.0,5.0,5.0,2.0,1.0,1.0,3.0,1.0,High,Medium,High,High,High,Medium,High,High,Medium,High
Conv_45,07189c73-4276-480c-9abf-2c5a25363cf5,ordering food,Order me a pizza with cheese and mushrooms.,User,Alright! Should I place the order from your usual restaurant?,Bot,10,-0.25,61.33,4.0,3.0,3.0,5.0,4.0,3.0,2.0,3.0,3.0,1.0,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,High
Conv_46,f91091e9-72a2-4edc-8c48-3e1e4ea9ec9d,travel recommendation,Can you suggest a relaxing place to visit in India?,User,Sure! You might enjoy Munnar or Alleppey for a peaceful vacation.,Bot,11,0.425,80.31,5.0,4.0,3.0,5.0,5.0,3.0,2.0,3.0,3.0,1.0,High,Medium,Medium,High,High,Medium,Medium,Medium,Medium,High
Conv_47,8b553520-ff1b-4fce-9fca-453be17020fb,mental health support,I’ve been feeling really low lately. I don’t know what to do.,User,I’m sorry you’re feeling this way. Talking to a counselor might really help.,Bot,13,-0.15,76.59,4.0,3.0,4.0,5.0,5.0,3.0,4.0,1.0,3.0,3.0,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium
Conv_48,8af88c64-3f65-4e29-aa8b-b7ecb3f96d4b,small talk,How's the weather today?,User,It’s sunny and pleasant in most parts of India today.,Bot,10,0.617,69.79,5.0,2.0,1.0,5.0,5.0,2.0,1.0,1.0,3.0,1.0,High,Medium,High,High,High,Medium,High,High,Medium,High
Conv_49,7a95f00f-cb67-435d-8b6c-0ca04db63d32,health advice,"Hey, I've had a sore throat for 3 days. Should I be worried?",User,"That could be a minor infection. If it continues, please consult a doctor.",Bot,13,-0.05,70.08,4.0,3.0,1.0,5.0,5.0,3.0,2.0,1.0,3.0,4.0,Medium,Medium,High,High,High,Medium,Medium,Medium,Medium,Medium
Conv_50,81c7d2bf-fe41-4bdb-a9c3-9530e2c8c105,ordering food,Order me a pizza with cheese and mushrooms.,User,Alright! Should I place the order from your usual restaurant?,Bot,10,-0.25,61.33,4.0,3.0,3.0,5.0,4.0,3.0,2.0,3.0,3.0,1.0,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,High
